"Type.of.feeding.interaction","Predator.lifestage","Slope","Intercept","R2","Fstat","p_value"
"insectivorous","larva / juvenile",0.384249046154572,1.56360275195807,0.125577629410638,4.3083628793485,0.0465944025225441
"piscivorous","adult",0.285409207488912,3.04230934042686,0.0762549666793222,1460.96633985597,3.21527852213301e-307
"piscivorous","juvenile",0.223480124508156,3.78759705139129,0.0715818776775025,233.384440178489,8.16786748031132e-51
"piscivorous","larva / juvenile",0.652630804441673,2.15727970672255,0.502262057547569,9.08180416316189,0.0146301686798565
"piscivorous","postlarva",0.106773528674382,-1.09766442150068,0.0389698693052271,1.25705314524184,0.270820006991041
"piscivorous","postlarva/juvenile",NA,NA,NA,NA,NA
"planktivorous","adult",0.802761886290888,3.87815102648538,0.224199133583999,45.0825287172977,3.31771921399377e-10
"planktivorous","juvenile",NA,NA,NA,NA,NA
"planktivorous","larva",0.431885598103509,0.526058856598801,0.184732831348562,231.80338143897,2.46433635713949e-47
"planktivorous","larva / juvenile",0.537539976546298,2.20757509090594,0.2383099678989,36.918661170477,1.55071505486173e-08
"planktivorous","postlarva/juvenile",0.675479706794876,2.95889440474228,0.231238785388309,78.8080363840141,1.10590667174247e-16
"predacious","adult",0.321994355406017,3.35636234035414,0.146129065719435,1356.94671825976,2.36661210566435e-274
"predacious","juvenile",1.06701767698148,3.56638090670251,0.764901236206757,6832.41617317411,0
"predacious","larva",0.323614384510348,0.621931166248408,0.114146688218641,155.914631584789,9.61358023701491e-34
"predacious","larva / juvenile",0.88497494533547,3.62003726076665,0.4903774538179,466.684739290751,5.25353664045594e-73
"predacious","postlarva",0.15403834606651,-0.700843567967422,0.109207422360889,8.58170550266892,0.00458060708606846
"predacious","postlarva/juvenile",0.232955400394707,0.846289447673092,0.144074981970457,98.9760640408159,1.1738319298312e-21
"predacious/piscivorous","adult",0.531028610582127,2.07757273211364,0.341154098535761,82.3310906945517,4.19117303972443e-16
