"Type.of.feeding.interaction","MeanPred","MedianPred","MeanPrey","MedianPrey","MeanRatio","MedianRatio"
"insectivorous",-0.0858536431379306,-0.0675872922666792,-4.29267531462519,-4.35457773065091,-4.20682167148726,-4.1359329910765
"piscivorous",3.34938083719066,3.46239799789896,0.710300904876979,0.789580712164425,-2.63907993231369,-2.43933269383026
"planktivorous",-1.23531396856292,-1.66554624884907,-5.43435136095615,-6.05948351506743,-4.19903739239323,-4.26933995298603
"predacious",2.07587104342543,2.78461729263288,-1.50582417790905,-0.723538195826756,-3.5816952213345,-3.61552396641996
"predacious/piscivorous",2.63357803391732,2.77085201164214,1.04703454903149,1.13353890837022,-1.58654348488583,-1.61135559075153
